DateTime,AddedIPs,RemovedIPs
1556205123,10,5
1556205722,0,74
1556206922,23,11
1556208123,1,0
1556209323,0,28
1556210523,0,28
1556211124,1,18
1556212324,5,50
1556213523,11,84
1556214122,0,61
1556215922,5,24
1556216522,0,18
1556217123,1,0
1556217723,0,5
1556218322,1,0
1556219523,0,3
1556220123,0,1
1556220723,6,0
1556221323,0,7
1556222523,46,0
1556223122,0,8
1556224922,1,33
1556226122,3,0
1556227323,1,0
1556228523,46,0
1556229724,40,14
1556231523,4,6
1556232123,0,32
1556233322,1,0
1556233922,0,7
1556234523,0,4
1556235723,0,44
1556238122,0,3
1556239323,51,101
1556240523,4,0
1556241123,0,20
1556241723,0,18
1556242922,2,0
1556244123,0,13
1556245323,4,31
1556246522,1,27
1556247723,34,17
1556248922,10,0
1556250122,0,1
1556251323,1,5
1556252523,6,24
1556253722,15,0
1556254923,17,27
1556256122,13,0
1556257323,56,30
1556257923,21,0
1556258522,1,0
1556259722,3,12
1556260323,1,1
1556262123,3,4
1556263322,7,0
1556263922,1,3
1556264522,7,0
1556265723,80,40
1556266323,11,19
1556266923,11,0
1556268123,27,14
1556269323,39,5
1556269922,38,1
1556270523,2,9
1556271723,3,0
1556272924,8,28
1556274123,76,27
1556274722,22,0
1556275322,16,13
1556276523,15,7
1556277722,0,14
1556280123,0,14
1556281322,0,6
1556282522,57,35
1556283723,9,30
1556284922,0,33
1556286122,0,9
1556288522,2,0
1556289122,0,21
1556289722,0,15
1556290322,2,0
1556290922,7,0
1556291523,0,10
1556292123,0,24
1556294523,0,1
1556296922,1,0
1556298123,0,13
1556299323,14,0
1556299922,43,10
1556300523,16,0
1556301723,1,2
1556302322,17,0
1556302922,6,1
1556304122,9,2
1556305323,10,3
1556306522,1,0
1556307722,4,6
1556308922,38,42
1556310123,6,2
1556310722,1,0
1556312523,5,3
1556313123,2,0
1556313723,1,0
1556314922,1,42
1556316122,5,41
1556317923,4,0
1556318522,52,1
1556319722,42,0
1556320323,2,0
1556320923,1,0
1556322122,5,0
1556323324,1,0
1556324523,2,54
1556325722,19,0
1556326922,0,2
1556327523,3,0
1556328122,31,5
1556329322,5,0
1556330523,5,5
1556331122,4,0
1556331722,2,0
1556332322,1,1
1556332922,2,25
1556334123,13,0
1556335322,1,8
1556336522,11,0
1556337724,60,5
1556338323,21,0
1556340122,1,32
1556342523,0,57
1556343122,7,0
1556343723,6,0
1556344922,16,24
1556346122,25,1
1556347323,0,3
1556348525,8,0
1556349723,1,7
1556350923,1,76
1556351523,2,0
1556353323,2,59
1556355722,0,28
1556356923,0,43
1556358122,2,16
1556358722,3,0
1556359323,11,0
1556360522,0,73
